frame_of_detection,track_id_1,class_1,track_id_2,class_2,predicted_TTC_seconds
38,1,car,20,person,0.1
38,2,car,11,car,0.1
38,6,car,17,traffic light,2.0
38,8,car,48,car,0.1
38,10,car,11,car,0.1
39,1,car,20,person,0.1
39,4,car,17,traffic light,1.5
39,62,car,68,car,0.1
40,1,car,20,person,0.1
40,2,car,11,car,0.1
40,2,car,18,car,0.1
40,4,car,17,traffic light,1.5
40,62,car,68,car,0.1
41,2,car,11,car,0.1
41,2,car,12,person,0.1
41,2,car,18,car,0.1
41,4,car,17,traffic light,2.0
41,10,car,11,car,0.1
42,2,car,11,car,0.1
42,2,car,12,person,0.1
42,2,car,18,car,0.1
42,3,car,8,car,0.6000000000000001
42,5,car,62,car,1.3
42,6,car,17,traffic light,1.8
42,9,person,13,car,0.1
42,11,car,62,car,1.5
42,12,person,62,car,1.8
42,17,traffic light,68,car,1.6
42,18,car,62,car,1.0
42,33,traffic light,62,car,0.8
43,1,car,20,person,0.1
43,2,car,12,person,0.1
43,2,car,18,car,0.1
43,3,car,8,car,1.0
43,8,car,40,person,0.30000000000000004
43,9,person,13,car,0.1
43,12,person,62,car,1.6
43,17,traffic light,68,car,2.0
43,18,car,33,traffic light,0.1
43,18,car,62,car,0.9
43,33,traffic light,62,car,0.7000000000000001
43,40,person,62,car,2.0
44,1,car,20,person,0.1
44,2,car,11,car,0.1
44,2,car,62,car,1.0
44,3,car,62,car,1.7000000000000002
44,5,car,62,car,1.0
44,7,car,8,car,1.9000000000000001
44,8,car,14,person,0.2
44,8,car,40,person,0.2
44,10,car,11,car,0.1
44,10,car,62,car,1.6
44,11,car,62,car,1.4000000000000001
44,14,person,62,car,2.0
44,18,car,62,car,0.8
44,33,traffic light,62,car,0.6000000000000001
44,40,person,62,car,1.9000000000000001
44,62,car,75,traffic light,0.6000000000000001
45,1,car,20,person,0.1
45,2,car,12,person,0.1
45,2,car,62,car,0.9
45,3,car,62,car,1.6
45,5,car,62,car,1.0
45,8,car,14,person,0.2
45,8,car,40,person,0.5
45,9,person,13,car,0.1
45,10,car,62,car,1.2000000000000002
45,11,car,62,car,1.0
45,14,person,62,car,1.9000000000000001
45,17,traffic light,68,car,1.4000000000000001
45,18,car,33,traffic light,0.1
45,18,car,62,car,0.7000000000000001
45,33,traffic light,62,car,0.6000000000000001
45,40,person,62,car,1.8
45,62,car,75,traffic light,0.6000000000000001
46,2,car,62,car,1.0
46,5,car,62,car,1.0
