frame,track_id,class,x1,y1,x2,y2
1,1,car,107.05259704589844,279.4287109375,211.5150909423828,358.69805908203125
1,2,car,251.94000244140625,168.29737854003906,329.12005615234375,216.0889129638672
1,3,car,169.02578735351562,211.33956909179688,219.80538940429688,281.2961730957031
1,4,car,424.04443359375,191.815673828125,495.5240478515625,246.88360595703125
1,5,car,248.13568115234375,229.37005615234375,321.34918212890625,325.92681884765625
1,6,car,466.354736328125,172.3751983642578,529.2155151367188,214.9629364013672
1,7,car,0.1392364501953125,167.625,76.56248474121094,197.26904296875
1,8,car,134.2698974609375,173.5611572265625,226.286865234375,209.19537353515625
1,9,person,59.7283935546875,230.6466064453125,83.228271484375,274.2489013671875
1,10,car,294.9014892578125,127.80422973632812,318.9599609375,154.33761596679688
1,11,car,296.41888427734375,150.50579833984375,326.04180908203125,173.36209106445312
1,12,person,247.21090698242188,152.585693359375,262.3001403808594,182.93115234375
1,13,car,26.857864379882812,272.5841064453125,112.61723327636719,340.45263671875
1,14,person,134.4429931640625,147.60830688476562,145.71173095703125,175.53970336914062
1,15,car,386.15606689453125,136.4562530517578,418.528564453125,160.29884338378906
1,16,person,135.97714233398438,213.80206298828125,161.4300537109375,255.18896484375
1,17,traffic light,387.71099853515625,69.65396118164062,400.29345703125,84.39801025390625
1,18,car,305.19964599609375,183.00758361816406,358.13421630859375,233.7149200439453
1,19,car,256.9208984375,324.89068603515625,302.249267578125,359.31536865234375
1,20,motorcycle,133.918701171875,229.40670776367188,163.51870727539062,261.0279846191406
1,21,traffic light,359.8529968261719,205.53622436523438,374.7530822753906,244.43167114257812
2,1,car,107.12649536132812,279.4822998046875,211.59613037109375,358.6739807128906
2,2,car,252.09861755371094,168.2975616455078,329.2978210449219,216.27040100097656
2,3,car,169.24252319335938,211.34507751464844,220.15304565429688,282.0380859375
2,4,car,423.2171325683594,191.59925842285156,494.8262023925781,244.89251708984375
2,5,car,248.30287170410156,229.37396240234375,321.5483093261719,326.0902404785156
2,6,car,464.831787109375,170.76708984375,527.3568115234375,212.7467803955078
2,7,car,0.2777952551841736,167.4910430908203,77.36384582519531,196.8101348876953
2,8,car,134.42982482910156,173.59884643554688,224.20899963378906,209.26904296875
2,9,person,60.17192077636719,231.4320526123047,83.14176177978516,274.2115478515625
2,10,car,294.9738464355469,127.91283416748047,319.0492858886719,154.80665588378906
2,11,car,296.37371826171875,150.57220458984375,326.4181823730469,173.16598510742188
2,12,person,247.09983825683594,152.41062927246094,262.12872314453125,183.84292602539062
2,13,car,26.90157699584961,272.2635192871094,111.28644561767578,339.2559509277344
2,14,person,134.5845947265625,147.38565063476562,146.2200469970703,175.65818786621094
2,15,car,385.4932556152344,136.11923217773438,417.5190734863281,159.70736694335938
2,16,person,136.33348083496094,214.22825622558594,160.20285034179688,253.3401336669922
2,17,traffic light,387.58575439453125,69.77206420898438,400.33612060546875,85.4322280883789
2,18,car,305.0115661621094,183.16363525390625,358.3443298339844,234.37612915039062
2,19,car,257.00042724609375,324.949462890625,302.4005126953125,359.3356628417969
2,20,motorcycle,133.9103546142578,231.00584411621094,164.68699645996094,261.8480529785156
2,21,traffic light,359.8162536621094,205.52354431152344,374.9376525878906,246.07994079589844
3,1,car,107.15666198730469,279.5325927734375,212.25851440429688,358.65325927734375
3,2,car,252.24533081054688,168.30882263183594,329.7367248535156,216.4713897705078
3,3,car,169.30441284179688,211.41049194335938,220.3935089111328,281.95941162109375
3,4,car,423.10369873046875,190.5057373046875,494.0381774902344,243.65794372558594
3,5,car,248.47073364257812,229.41616821289062,321.6364440917969,326.1464538574219
3,6,car,464.19091796875,169.30601501464844,526.0485229492188,211.32778930664062
3,7,car,0.3268263339996338,167.628173828125,77.67899322509766,197.6335906982422
3,8,car,134.71339416503906,173.77822875976562,224.8739471435547,208.6206817626953
3,9,person,60.81772994995117,231.40333557128906,83.43682098388672,274.19293212890625
3,10,car,295.0845642089844,127.90166473388672,319.3499450683594,155.168212890625
3,11,car,296.664306640625,150.6241912841797,326.90777587890625,173.2508544921875
3,12,person,247.17678833007812,152.3426513671875,262.1824645996094,184.16773986816406
3,13,car,27.409297943115234,271.6442565917969,108.67301940917969,338.7253723144531
3,14,person,134.90682983398438,147.307373046875,146.742431640625,174.7100067138672
3,15,car,385.13323974609375,135.6765899658203,417.673828125,158.86363220214844
3,16,person,134.72299194335938,215.1241455078125,159.12477111816406,259.55902099609375
3,17,traffic light,387.3934020996094,69.6309585571289,400.5901794433594,86.75123596191406
3,18,car,305.1324768066406,183.23306274414062,358.6507873535156,234.69798278808594
3,19,car,257.349853515625,324.8026428222656,302.6590270996094,359.36572265625
3,20,motorcycle,133.586181640625,231.23300170898438,165.2030792236328,263.3464660644531
3,21,traffic light,359.9931640625,205.80206298828125,375.26513671875,247.38499450683594
4,1,car,107.19197082519531,279.53936767578125,212.83004760742188,358.6597900390625
4,2,car,252.3161163330078,168.4912567138672,329.8250427246094,216.63218688964844
4,3,car,169.25245666503906,211.4320526123047,220.42604064941406,281.7779541015625
4,4,car,425.5939636230469,189.15333557128906,493.74554443359375,243.03834533691406
4,5,car,248.6444549560547,229.33567810058594,321.81903076171875,326.2835998535156
4,6,car,463.2493591308594,168.1728057861328,525.5474243164062,210.15281677246094
4,7,car,0.4277791976928711,168.11590576171875,77.8514633178711,196.70338439941406
4,8,car,134.8197784423828,173.96063232421875,226.43809509277344,207.42095947265625
4,9,motorcycle,60.424842834472656,230.88343811035156,83.39826202392578,274.0047912597656
4,10,car,295.0029602050781,127.8746337890625,319.585693359375,155.65185546875
